Club,mean,count(1)
Gençlerbirliği SK,58.24020319303339,30
FC Ingolstadt 04,58.20265548567436,30
Orlando City Soccer Club,58.18943396226415,30
D.C. United,58.18003144654088,29
Malmö FF,58.1646655231561,25
CD Feirense,58.14949201741654,29
Real Valladolid,58.12499999999999,30
Philadelphia Union,58.10971348707197,30
Wisła Kraków,58.090408805031444,27
CD Numancia,58.07389937106918,27
FC Tosno,58.04716981132075,25
Amkar Perm,58.03223270440251,27
Eintracht Braunschweig,58.02122641509434,27
AD Alcorcón,58.00898472596585,25
,57.97373288938216,248
Colon de Santa Fe,57.959119496855344,28
New York Red Bulls,57.92845911949684,30
Atletico Nacional Medellin,57.87924528301888,28
Vancouver Whitecaps FC,57.867924528301884,29
Sporting Lokeren,57.8588679245283,28
CD America de Cali,57.85534591194969,28
Atlanta United FC,57.85471698113206,30
Colorado Rapids,57.813306852035744,25
SD Huesca,57.70113207547169,28
Benevento Calcio,57.68150943396226,28
Estudiantes de La Plata,57.678424938474166,28
DSC Arminia Bielefeld,57.676886792452834,24
SV Zulte-Waregem,57.673349056603776,28
CD Palestino,57.67085953878407,20
FC St. Pauli,57.66352201257863,28
Sporting Charleroi,57.6509433962264,25
Portland Timbers,57.647547169811304,29
Roda JC Kerkrade,57.62084456424079,25
Heracles Almelo,57.52981132075472,28
Cádiz C.F.,57.50653120464442,29
Houston Dynamo,57.49709724238026,29
Crotone,57.49406009783368,30
SV Darmstadt 98,57.445143256464,30
Sarpsborg 08 FF,57.43996569468268,24
AS Nancy Lorraine,57.426579163248554,26
SG Dynamo Dresden,57.354559748427675,27
Club Atlético Tigre,57.34792452830188,28
RC Strasbourg,57.337445573294644,30
Lech Poznań,57.33305988515177,27
Ulsan Hyundai Horang-i,57.29874213836479,28
Real Oviedo,57.2975986277873,30
Salernitana,57.237596086652694,30
Urawa Red Diamonds,57.230458221024264,27
KV Mechelen,57.22264150943397,28
Jeju United FC,57.21698113207548,28
Strømsgodset IF,57.20188679245282,22
Kaizer Chiefs,57.17735849056603,28
ADO Den Haag,57.17581475128645,26
Portimonense SC,57.16194968553458,27
Chicago Fire Soccer Club,57.15698113207546,29
RC Lens,57.156685808039384,30
Preston North End,57.13050314465409,29
Kashima Antlers,57.09605488850772,28
Kashiwa Reysol,57.070754716981135,27
Molde FK,57.067169811320746,27
MSV Duisburg,57.06568832983926,30
Brentford,57.0633962264151,30
PEC Zwolle,57.04459691252145,26
Pogoń Szczecin,57.041329739442936,23
Moreirense FC,56.90792452830188,28
F.B.C. Unione Venezia,56.88443396226415,27
Minnesota Thunder,56.86106346483705,29
Waasland-Beveren,56.8597210828548,26
FC Anzhi Makhachkala,56.859538784067084,30
1. FC Heidenheim,56.83182936833471,26
Willem II,56.819182389937104,28
Tondela,56.81525157232705,27
Sagan Tosu,56.81422351233672,25
Palermo,56.801886792452834,28
Bristol City,56.79416809605489,30
Burton Albion,56.7752255947498,28
Oldham Athletic,56.77194421657096,28
Orlando Pirates,56.7690566037736,28
Cremonese,56.74963715529755,28
Nîmes Olympique,56.729245283018884,24
Blackburn Rovers,56.729056603773586,28
Odds BK,56.7221269296741,24
SV Sandhausen,56.692830188679245,30
SpVgg Greuther Fürth,56.6879535558781,30
Melbourne City,56.68181818181817,25
Asociacion Deportivo Cali,56.66716981132075,28
Gimnasia y Esgrima La Plata,56.65660377358492,28
AIK Solna,56.646900269541774,24
Stade Brestois 29,56.64308176100628,29
IF Elfsborg,56.64056603773586,22
FC Barcelona B,56.635703918722776,29
Lobos de la BUAP,56.6255442670537,30
Terek Grozny,56.62037735849055,28
Pohang Steelers,56.61871069182391,28
Royal Antwerp FC,56.61197703035276,27
Real Salt Lake,56.6088534107402,29
Perth Glory,56.55908639523337,21
Viking FK,56.55710029791459,23
Al Fayha,56.533805031446526,28
Excelsior,56.52410901467505,27
Hammarby IF,56.50283018867924,22
Arsenal Tula,56.49615653389238,30
Godoy Cruz,56.48506289308176,28
ES Troyes AC,56.47690305790503,33
Lorca Deportiva CF,56.4685534591195,29
FC Dallas,56.457184325108855,27
Sint-Truidense VV,56.407547169811316,28
Jeonnam Dragons,56.37132075471698,28
Bourg en Bresse Péronnas 01,56.36981132075472,23
Śląsk Wrocław,56.34991423670669,25
Wigan Athletic,56.31996855345912,28
VVV-Venlo,56.310534591194966,28
Aberdeen,56.30727762803235,24
FC Ural,56.28301886792452,30
FC Erzgebirge Aue,56.280660377358494,28
Brisbane Roar,56.2722371967655,24
CD Lugo,56.24600870827284,30
NAC Breda,56.244584206848366,30
Atlético Tucumán,56.23924528301889,28
Djurgårdens IF,56.19554030874785,24
Kalmar FF,56.18641509433961,27
Parma,56.18169112508736,30
Banfield,56.181132075471695,28
Jagiellonia Białystok,56.177897574123996,24
Club Atlético Patronato,56.1753144654088,28
Sheffield United,56.1743396226415,30
Montreal Impact,56.15094339622642,29
Melbourne Victory,56.128745837957815,21
Al Ittihad,56.09154437456324,30
Córdoba CF,56.09143686502177,29
Oxford United,56.026729559748425,28
Östersunds FK,56.02552719200888,24
CD Once Caldas Manizales,56.009056603773594,28
Águilas Doradas,55.97811320754718,28
Unión de Santa Fe,55.95169811320755,28
Evkur Yeni Malatyaspor,55.951378809869375,30
AJ Auxerre,55.943396226415096,30
Stade de Reims,55.9367924528302,28
BK Häcken,55.93351302785265,25
Albacete Balompié,55.88606676342525,29
AC Ajaccio,55.88381330685204,24
Independiente Medellín,55.86339622641509,28
Sparta Rotterdam,55.84512578616354,30
Arsenal de Sarandí,55.83018867924529,28
KAS Eupen,55.81660377358491,28
Cesena,55.81525157232704,27
Pescara,55.780323450134766,30
Brøndby IF,55.745283018867916,25
Avellino,55.71534044298606,26
Vélez Sarsfield,55.70047169811321,28
Shimizu S-Pulse,55.67295597484277,30
SCR Altach,55.6718621821165,27
Bury,55.63788098693759,28
Vålerenga Fotball,55.62342767295598,26
